[7l----total-cpu-usage---- -dsk/total- ------memory-usage----- -net/total- --io/total- ------sockets------ ----tcp-sockets----
usr sys idl wai hiq siq| read  writ| used  buff  cach  free| recv  send| read  writ|tot tcp udp raw frg|lis act syn tim clo
 24   7  68   0   0   1|   0     0 |5191M  389M 57.0G  526M|1449k 6209k|   0     0 |382 170  20   0   0| 20 142   2   1 201
 18   4  77   0   0   1|   0   672k|5178M  389M 57.0G  539M|1350k 4314k|   0  12.0 |376 166  20   0   0| 20 137   3   1 189
 20   4  75   0   0   1|   0    16k|5178M  389M 57.0G  539M|1418k 5037k|   0  4.00 |364 155  20   0   0| 20 126   2   1 190
 18   3  78   0   0   1|   0   284k|5178M  389M 57.0G  539M|1508k 5973k|   0  10.0 |365 155  20   0   0| 20 125   2   1 185
 12   2  85   0   0   1|   0     0 |5179M  389M 57.0G  538M|1435k 5286k|   0     0 |361 151  20   0   0| 20 123   2   1 183
 13   2  85   0   0   0|   0     0 |5179M  389M 57.0G  538M|1313k 5233k|   0     0 |360 150  20   0   0| 20 117   2   1 187
 11   2  87   0   0   0|   0     0 |5179M  389M 57.0G  538M|1347k 4986k|   0     0 |356 150  20   0   0| 20 120  10   1 184
 10   2  88   0   0   0|   0     0 |5179M  389M 57.0G  538M|1262k 4914k|   0     0 |366 161  20   0   0| 20 129   3   1 181
 18   3  78   0   0   1|   0   132k|5179M  389M 57.0G  538M|1293k 5164k|   0  7.00 |367 162  20   0   0| 20 130   3   1 182
 15   3  82   0   0   1|   0     0 |5179M  389M 57.0G  538M|1847k 6955k|   0     0 |374 167  20   0   0| 20 137   2   1 184
 14   3  82   0   0   1|   0     0 |5176M  389M 57.0G  541M|1479k 5436k|   0     0 |375 169  20   0   0| 20 139   2   1 183
 11   2  87   0   0   1|   0     0 |5177M  389M 57.0G  540M|1368k 5720k|   0     0 |370 164  20   0   0| 20 138   2   1 184
 19   3  77   0   0   1|4096B   68k|5176M  389M 57.0G  540M|2134k 7212k|1.00  15.0 |368 162  20   0   0| 20 137   3   1 185
